,ObjectID,GlobalID,consent,genero,bairro,bairro_outro,is_fisher,arte,arte_outra,arte_princip,familia_pesc,switch,familia_groupos,familia_artes_count,prod,prod_outra,prod_count,prod_list,prod_ordered,CreationDate,Creator,EditDate,Editor,Apontamentos,ccp,x,y,gleaner,fisher
231,232,0ec303c2-1bc1-43bc-a557-e40685acfc5a,sim,mulher,machavenga,,sim,"rec,tarrafa",,"rec,tarrafa",nao,,,0,"dzinzanz,50_dzindrolo,61_mapalo_mavalo,56_mavandzi,60_matewo",,69,"2_mavionho,3_salani,7_carapo_tara,1_mihili,27_korea,50_dzindrolo,61_mapalo_mavalo,56_mavandzi,60_matewo","50_dzindrolo,2_mavionho,3_salani,7_carapo_tara,1_mihili,27_korea,60_matewo,61_mapalo_mavalo,56_mavandzi",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,chamane,35.49496948,-23.8468947,yes,no
232,233,da746ce6-403c-466c-8001-59b153a279d9,sim,mulher,josina_machel,,sim,rec,,rec,sim,,mulheres_adultos,16,"60_matewo,61_mapalo_mavalo,dzinzanz",,29,"60_matewo,61_mapalo_mavalo,29_livandrevandre,11_sardinha_mboweni,5_dzipata","29_livandrevandre,11_sardinha_mboweni,5_dzipata,60_matewo,61_mapalo_mavalo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,josina_machel,35.4949755,-23.84666013,yes,no
233,234,b585f45b-703e-4b32-a93a-8771d06a2055,sim,homen,conguiana,,sim,gamboa,,gamboa,sim,,meninas,7,"7_carapo_tara,2_mavionho,3_salani,50_dzindrolo",,33,"7_carapo_tara,2_mavionho,3_salani,50_dzindrolo",7_carapo_tara,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48755144,-23.7927563,no,yes
234,235,d8e581c1-7204-428d-967e-1b2dcdf5ffda,sim,mulher,conguiana,,sim,"tarrafa,rec",,"tarrafa,rec",nao,,,0,"50_dzindrolo,63_nhamunhe,56_mavandzi",,27,"50_dzindrolo,63_nhamunhe,56_mavandzi",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,satsabo ,nhamua,0.0,0.0,yes,no
235,236,a5b96208-ffaa-4e4d-9f15-f6005e7fb7f5,sim,mulher,conguiana,,sim,rec,,rec,nao,,,0,"66_mahoma_sikuilivita,61_mapalo_mavalo,50_dzindrolo,dzinzanz,63_nhamunhe,74_makolo",,48,"66_mahoma_sikuilivita,61_mapalo_mavalo,50_dzindrolo,dzinzanz,63_nhamunhe,74_makolo","50_dzindrolo,nan,66_mahoma_sikuilivita,74_makolo,61_mapalo_mavalo,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,nao e facil encontrar peixe,nhamua,35.4924354,-23.79448613,yes,no
236,237,a0c29b60-70c4-4dba-b125-a96bb00e24aa,sim,mulher,nhamua,,sim,"rec,tarrafa",,"tarrafa,rec",sim,,"homens_adultos,meninos,meninas",30,"60_matewo,56_mavandzi,50_dzindrolo,51_gingave",,33,"60_matewo,56_mavandzi,50_dzindrolo,51_gingave","50_dzindrolo,51_gingave,60_matewo,56_mavandzi",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49251018,-23.79682232,yes,no
237,238,065e8f90-9c07-4704-b122-a651e7883392,sim,mulher,nhamua,,sim,"rec,tarrafa",,"rec,tarrafa",sim,,homens_adultos,14,"60_matewo,61_mapalo_mavalo,74_makolo,dzinzanz,56_mavandzi",,38,"60_matewo,61_mapalo_mavalo,74_makolo,dzinzanz,56_mavandzi","nan,74_makolo,60_matewo,61_mapalo_mavalo,56_mavandzi",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49362496,-23.79618616,yes,no
238,239,2ba48214-73e8-4b33-a04b-40f953645a58,sim,homen,conguiana,,sim,"linha,rec",,"linha,rec",sim,,mulheres_adultos,16,"66_mahoma_sikuilivita,50_dzindrolo,60_matewo,63_nhamunhe,72_nhamuele,51_gingave,dzinzanz",,65,"66_mahoma_sikuilivita,50_dzindrolo,60_matewo,63_nhamunhe,72_nhamuele,51_gingave,7_carapo_tara,5_dzipata","50_dzindrolo,7_carapo_tara,5_dzipata,51_gingave,66_mahoma_sikuilivita,60_matewo,72_nhamuele,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49248055,-23.79453827,no,yes
239,240,b8fd8d8e-e8e5-4828-8f61-2eabe159693a,sim,mulher,nhamua,,sim,rec,,rec,sim,,homens_adultos,14,"60_matewo,66_mahoma_sikuilivita,57_minhoka_minhata,50_dzindrolo",minhata,29,"60_matewo,66_mahoma_sikuilivita,57_minhoka_minhata,50_dzindrolo","50_dzindrolo,66_mahoma_sikuilivita,60_matewo,57_minhoka_minhata",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,marido minhata ,nhamua,0.0,0.0,yes,no
240,241,7fcc0485-e549-4502-acd3-30c0dab713f4,sim,homen,nhamua,,sim,gamboa,,gamboa,sim,,"mulheres_adultos,meninas",24,"50_dzindrolo,60_matewo,61_mapalo_mavalo,56_mavandzi,66_mahoma_sikuilivita,63_nhamunhe,dzinzanz",,73,"50_dzindrolo,60_matewo,61_mapalo_mavalo,56_mavandzi,66_mahoma_sikuilivita,63_nhamunhe,2_mavionho,7_carapo_tara,11_sardinha_mboweni","50_dzindrolo,2_mavionho,7_carapo_tara,11_sardinha_mboweni,66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,56_mavandzi,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,"mavalo and matewo mavandzi mahoma importante para trocas - nemba. gamboa - bambo, sardinha normal. Mamae naonusa muito ginia. ",nhamua,35.49461267,-23.81689309,no,yes
