,genero,ccp,arte
158,homen,morrumbene,gamboa
159,homen,morrumbene,gamboa
160,homen,morrumbene,rede_arrasto
161,homen,morrumbene,rede_arrasto
162,homen,morrumbene,rede_arrasto
163,mulher,morrumbene,rec
163,mulher,morrumbene,tarrafa
164,mulher,morrumbene,rec
165,mulher,morrumbene,rec
166,homen,morrumbene,rede_arrasto
167,homen,sahane,linha
168,homen,sahane,linha
169,homen,sahane,linha
170,homen,sahane,gamboa
171,homen,sahane,giola
172,mulher,sahane,rec
173,mulher,sahane,rec
174,mulher,sahane,rec
175,mulher,sahane,rec
176,homen,nhamaxaxa,rede_arrasto
176,homen,nhamaxaxa,rec
177,homen,sahane,rede_emalhar
178,mulher,sahane,rec
179,homen,nhamaxaxa,rede_emalhar
180,homen,nhamaxaxa,rede_arrasto
181,homen,nhamaxaxa,linha
182,homen,chamane,linha
183,mulher,chamane,tarrafa
183,mulher,chamane,rede_emalhar
184,mulher,chamane,rec
184,mulher,chamane,rede_emalhar
185,homen,chamane,rec
185,homen,chamane,tarrafa
186,mulher,chamane,rec
187,mulher,chamane,rec
187,mulher,chamane,tarrafa
188,mulher,chamane,rec
188,mulher,chamane,tarrafa
189,mulher,chamane,rec
189,mulher,chamane,tarrafa
190,mulher,chamane,rec
191,mulher,chamane,rec
192,mulher,chamane,rec
192,mulher,chamane,tarrafa
193,homen,chamane,rede_emalhar
194,homen,chamane,rede_emalhar
194,homen,chamane,rec
195,homen,mucucune,gamboa
196,homen,mucucune,gamboa
197,homen,mucucune,gamboa
198,mulher,mucucune,tarrafa
198,mulher,mucucune,rec
199,mulher,mucucune,tarrafa
200,homen,mucucune,gamboa
201,homen,mucucune,giola
202,homen,marrambone,linha
203,homen,marrambone,linha
204,homen,marrambone,linha
205,homen,muele,linha
206,homen,mucucune,linha
207,homen,marrambone,rec
207,homen,marrambone,tarrafa
208,mulher,morrumbene,rec
209,mulher,mucucune,rec
209,mulher,mucucune,tarrafa
210,mulher,mucucune,rec
211,mulher,mucucune,tarrafa
211,mulher,mucucune,rec
212,mulher,mucucune,tarrafa
212,mulher,mucucune,rec
213,homen,nhamua,gamboa
214,homen,nhamua,gamboa
214,homen,nhamua,rec
215,homen,nhamua,gamboa
216,homen,nhamua,gamboa
216,homen,nhamua,tarrafa
217,homen,nhamua,gamboa
218,mulher,nhamaxaxa,rec
219,mulher,nhamaxaxa,rec
220,mulher,nhamaxaxa,rec
221,mulher,nhamaxaxa,rec
222,mulher,nhamaxaxa,rec
223,mulher,josina_machel,rec
223,mulher,josina_machel,tarrafa
224,mulher,josina_machel,rec
225,homen,josina_machel,linha
226,homen,josina_machel,linha
226,homen,josina_machel,rede_arrasto
226,homen,josina_machel,rede_emalhar
227,homen,josina_machel,rede_arrasto
227,homen,josina_machel,rec
228,mulher,josina_machel,rec
229,mulher,josina_machel,rec
230,mulher,josina_machel,rec
230,mulher,josina_machel,tarrafa
231,mulher,chamane,rec
231,mulher,chamane,tarrafa
232,mulher,josina_machel,rec
233,homen,nhamua,gamboa
234,mulher,nhamua,tarrafa
234,mulher,nhamua,rec
235,mulher,nhamua,rec
236,mulher,nhamua,rec
236,mulher,nhamua,tarrafa
237,mulher,nhamua,rec
237,mulher,nhamua,tarrafa
238,homen,nhamua,linha
238,homen,nhamua,rec
239,mulher,nhamua,rec
240,homen,nhamua,gamboa
241,mulher,nhamua,rec
242,mulher,nhamua,rec
243,homen,nhamua,rec
243,homen,nhamua,tarrafa
243,homen,nhamua,mergulho
244,mulher,nhamua,rec
245,homen,nhamua,gamboa
246,mulher,nhamua,rec
247,mulher,nhamua,rec
247,mulher,nhamua,tarrafa
248,mulher,nhamua,tarrafa
248,mulher,nhamua,rec
249,homen,nhamua,tarrafa
249,homen,nhamua,rec
250,homen,nhamua,rec
250,homen,nhamua,linha
250,homen,nhamua,gamboa
251,mulher,nhamua,rec
251,mulher,nhamua,outra
252,mulher,nhamua,rec
253,mulher,nhamua,rec
254,mulher,nhamua,rec
255,mulher,nhamua,rec
255,mulher,nhamua,tarrafa
256,mulher,nhamua,rec
256,mulher,nhamua,tarrafa
257,homen,nhamua,rec
258,homen,nhamua,rec
259,mulher,nhamua,rec
260,mulher,nhamua,rec
261,mulher,nhamua,rec
262,,nhamua,rec
263,mulher,nhamua,rec
264,mulher,nhamua,rec
264,mulher,nhamua,tarrafa
265,mulher,nhamua,rec
266,mulher,nhamua,rec
267,mulher,nhamua,tarrafa
267,mulher,nhamua,rec
268,homen,ilha,tarrafa
268,homen,ilha,giola
269,mulher,ilha,rec
269,mulher,ilha,tarrafa
270,mulher,ilha,rec
271,mulher,ilha,rec
271,mulher,ilha,tarrafa
272,mulher,ilha,rec
272,mulher,ilha,tarrafa
273,mulher,ilha,rec
273,mulher,ilha,tarrafa
274,homen,ilha,rec
274,homen,ilha,tarrafa
274,homen,ilha,rede_emalhar
275,homen,ilha,tarrafa
275,homen,ilha,rede_emalhar
276,homen,ilha,tarrafa
276,homen,ilha,rede_emalhar
277,mulher,ilha,rec
277,mulher,ilha,tarrafa
278,homen,ilha,rede_emalhar
278,homen,ilha,tarrafa
279,homen,ilha,tarrafa
279,homen,ilha,rede_emalhar
280,mulher,ilha,rec
280,mulher,ilha,tarrafa
280,mulher,ilha,rede_emalhar
281,mulher,ilha,rec
281,mulher,ilha,tarrafa
282,homen,ilha,tarrafa
282,homen,ilha,rede_emalhar
283,mulher,ilha,rec
283,mulher,ilha,tarrafa
284,mulher,ilha,tarrafa
284,mulher,ilha,rec
285,mulher,ilha,tarrafa
285,mulher,ilha,rec
286,homen,ilha,tarrafa
287,homen,ilha,tarrafa
287,homen,ilha,linha
288,homen,ilha,rec
288,homen,ilha,tarrafa
289,homen,ilha,tarrafa
290,homen,ilha,rec
290,homen,ilha,tarrafa
291,mulher,ilha,rec
291,mulher,ilha,tarrafa
292,mulher,ilha,rec
292,mulher,ilha,tarrafa
293,mulher,ilha,rec
294,mulher,ilha,rec
294,mulher,ilha,tarrafa
295,mulher,ilha,rec
295,mulher,ilha,tarrafa
296,mulher,ilha,rec
296,mulher,ilha,tarrafa
297,mulher,ilha,rec
298,mulher,ilha,rec
298,mulher,ilha,tarrafa
299,mulher,ilha,rec
299,mulher,ilha,tarrafa
300,mulher,ilha,rec
300,mulher,ilha,tarrafa
302,homen,ilha,tarrafa
302,homen,ilha,rede_emalhar
302,homen,ilha,giola
303,mulher,ilha,rec
303,mulher,ilha,tarrafa
304,homen,ilha,tarrafa
304,homen,ilha,gamboa
305,homen,ilha,rede_emalhar
306,homen,nhampossa,rede_emalhar
307,mulher,kuguana,rede_arrasto
308,mulher,kuguana,rec
309,homen,chamane,gamboa
310,homen,chamane,linha
311,mulher,chamane,linha
312,homen,chamane,linha
313,homen,chamane,linha
314,homen,chamane,linha
315,homen,chamane,linha
316,homen,chamane,rec
316,homen,chamane,linha
316,homen,chamane,rede_emalhar
316,homen,chamane,tarrafa
317,homen,chamane,rede_emalhar
317,homen,chamane,tarrafa
318,mulher,chamane,tarrafa
318,mulher,chamane,rec
319,homen,chamane,rec
319,homen,chamane,tarrafa
320,mulher,chamane,rede_emalhar
321,mulher,chamane,rec
321,mulher,chamane,tarrafa
322,homen,chamane,rec
323,mulher,chamane,tarrafa
323,mulher,chamane,rec
324,homen,chamane,rede_emalhar
324,homen,chamane,tarrafa
325,mulher,chamane,tarrafa
326,homen,chamane,rec
326,homen,chamane,tarrafa
327,mulher,chamane,rec
327,mulher,chamane,tarrafa
328,mulher,chamane,rec
329,mulher,chamane,rec
330,mulher,chamane,rec
331,homen,chamane,rede_emalhar
332,homen,morrumbene,rede_emalhar
333,homen,morrumbene,rede_arrasto
334,homen,morrumbene,rede_cerco
334,homen,morrumbene,rede_emalhar
335,homen,morrumbene,rede_arrasto
336,homen,morrumbene,rede_arrasto
337,homen,morrumbene,rede_arrasto
338,homen,morrumbene,rede_arrasto
339,homen,morrumbene,linha
340,homen,morrumbene,rede_arrasto
341,homen,morrumbene,rede_arrasto
342,homen,morrumbene,rede_cerco
342,homen,morrumbene,rede_emalhar
342,homen,morrumbene,rec
343,homen,morrumbene,gamboa
343,homen,morrumbene,linha
344,homen,morrumbene,rede_emalhar
345,homen,morrumbene,rede_arrasto
346,homen,morrumbene,rede_arrasto
347,homen,morrumbene,rede_arrasto
348,homen,morrumbene,giola
349,homen,morrumbene,giola
350,homen,morrumbene,rede_arrasto
351,homen,morrumbene,rede_emalhar
352,mulher,nhampossa,rec
353,homen,madava,rec
354,homen,nhampossa,outra
354,homen,nhampossa,linha
355,homen,nhampossa,outra
355,homen,nhampossa,linha
356,homen,nhampossa,rede_emalhar
357,homen,,rec
358,homen,njuga,rede_emalhar
359,homen,njuga,linha
360,homen,njuga,linha
361,homen,njuga,linha
362,homen,njuga,rede_emalhar
363,homen,njuga,rede_emalhar
364,mulher,njuga,rec
364,mulher,njuga,tarrafa
365,homen,njuga,gamboa
366,mulher,njuga,rec
366,mulher,njuga,tarrafa
367,mulher,njuga,rec
367,mulher,njuga,tarrafa
368,mulher,njuga,rec
369,mulher,njuga,rec
370,mulher,njuga,rec
371,mulher,njuga,rec
371,mulher,njuga,tarrafa
372,homen,njuga,giola
372,homen,njuga,rec
373,mulher,njuga,rec
374,mulher,njuga,rec
375,homen,njuga,linha
376,homen,josina_machel,rede_arrasto
377,homen,josina_machel,linha
378,homen,josina_machel,linha
379,homen,josina_machel,rede_arrasto
380,homen,josina_machel,linha
381,homen,josina_machel,mergulho
382,homen,josina_machel,gamboa
382,homen,josina_machel,linha
383,mulher,josina_machel,rec
384,mulher,josina_machel,rec
384,mulher,josina_machel,tarrafa
385,mulher,josina_machel,rec
386,mulher,josina_machel,rec
387,mulher,madava,rec
388,mulher,madava,rec
388,mulher,madava,gamboa
389,homen,madava,rede_emalhar
389,homen,madava,rec
390,homen,madava,gamboa
391,mulher,madava,gamboa
391,mulher,madava,tarrafa
392,mulher,madava,gamboa
393,mulher,madava,rec
394,mulher,madava,gamboa
394,mulher,madava,tarrafa
395,mulher,madava,gamboa
396,mulher,madava,gamboa
397,mulher,madava,gamboa
398,mulher,madava,gamboa
398,mulher,madava,tarrafa
399,homen,nhamaxaxa,rede_emalhar
400,homen,nhamaxaxa,linha
401,homen,,linha
402,homen,nhamaxaxa,linha
403,mulher,,rec
404,mulher,nhampossa,rec
405,homen,nhampossa,giola
406,mulher,nhampossa,rec
406,mulher,nhampossa,tarrafa
407,mulher,nhampossa,rec
407,mulher,nhampossa,tarrafa
408,mulher,nhampossa,rec
409,homen,nhampossa,rede_emalhar
410,homen,nhampossa,gamboa
411,mulher,marrambone,rec
411,mulher,marrambone,tarrafa
412,mulher,marrambone,rec
412,mulher,marrambone,tarrafa
413,mulher,marrambone,tarrafa
413,mulher,marrambone,rec
