,name,ccp,1,2,3,4,5,6,7,8,9,total_count,score,score_prop,practica
45,nhamuele,josina_machel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.941176470588235,apanhadores
46,nhamunhe,josina_machel,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.431372549019608,apanhadores
47,dzindrolo,madava,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,19.54022988505747,apanhadores
48,gihologo,madava,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.4482758620689653,apanhadores
49,gudua,madava,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,5.172413793103448,apanhadores
50,masaba,madava,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.2988505747126435,apanhadores
51,mavandzi,madava,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,61.0,35.05747126436782,apanhadores
52,mitifa,madava,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.172413793103448,apanhadores
53,nhakumbe,madava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.1494252873563218,apanhadores
54,nhanguedwa,madava,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,46.0,26.436781609195403,apanhadores
55,nhatogue,madava,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.7241379310344827,apanhadores
56,dzindrolo,marrambone,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,26.543209876543212,apanhadores
57,mapalo,marrambone,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.320987654320987,apanhadores
58,matewo,marrambone,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,25.0,15.432098765432098,apanhadores
59,mavandzi,marrambone,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,35.0,21.604938271604937,apanhadores
60,nhamunhe,marrambone,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,26.0,16.049382716049383,apanhadores
61,nhasastani,marrambone,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,12.0,7.4074074074074066,apanhadores
62,togoma,marrambone,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,8.641975308641975,apanhadores
63,dzindrolo,morrumbene,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,65.0,16.049382716049383,apanhadores
64,gingave,morrumbene,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,20.0,4.938271604938271,apanhadores
65,mahutu,morrumbene,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,37.0,9.135802469135802,apanhadores
66,matewo,morrumbene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.2222222222222223,apanhadores
67,mavandzi,morrumbene,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,8.395061728395062,apanhadores
68,mikaki,morrumbene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.728395061728395,apanhadores
69,mitifa,morrumbene,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,2.9629629629629632,apanhadores
70,nhanguedwa,morrumbene,11.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,139.0,34.32098765432099,apanhadores
71,nhatogue,morrumbene,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,7.4074074074074066,apanhadores
72,simbatsani,morrumbene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.4814814814814816,apanhadores
73,togoma,morrumbene,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,46.0,11.358024691358025,apanhadores
74,dzindrolo,mucucune,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,27.173913043478258,apanhadores
75,mahoma,mucucune,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.608695652173914,apanhadores
76,mavandzi,mucucune,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,39.130434782608695,apanhadores
77,simbatsani,mucucune,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.695652173913043,apanhadores
78,togoma,mucucune,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,17.391304347826086,apanhadores
79,dzindrolo,nhamaxaxa,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,50.588235294117645,apanhadores
80,nhamunhe,nhamaxaxa,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,18.823529411764707,apanhadores
81,nhandrendre,nhamaxaxa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.235294117647058,apanhadores
82,nhasastani,nhamaxaxa,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,15.294117647058824,apanhadores
83,simbatsani,nhamaxaxa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0588235294117645,apanhadores
84,dzindrolo,nhampossa,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,33.663366336633665,apanhadores
85,mavandzi,nhampossa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,15.841584158415841,apanhadores
86,nhakumbe,nhampossa,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,14.0,13.861386138613863,apanhadores
87,nhatogue,nhampossa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.9405940594059405,apanhadores
88,togoma,nhampossa,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,23.762376237623762,apanhadores
89,tsanga,nhampossa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.9306930693069315,apanhadores
90,dzindrolo,nhamua,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,143.0,20.664739884393065,apanhadores
91,gingave,nhamua,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.1560693641618496,apanhadores
92,mahoma,nhamua,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,95.0,13.728323699421965,apanhadores
93,makolo,nhamua,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,3.0346820809248554,apanhadores
94,mapalo,nhamua,0.0,4.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,113.0,16.329479768786126,apanhadores
